,MOVIES,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Year,Director,Stars
5275,Cristina,"Docume tary, Short",8.0,"A  i timate jour ey of a 37-year-old Cristi a, as fate bri gs to her life both a  ew love a d a  u beatable challe ge. Determi ed to pass o  a message of hope a d a 'live i  the  ow' ...                See full summary »","Director:
Michèle Ohayo 
| 
    Star:
Cristi a Weigma",217.0,39.0,2016,Michèle Ohayo,
5277,The Crystal Calls - Making the Dark Crystal: Age of Resistance,Docume tary,7.6,"The Crystal Calls: Maki g The Dark Crystal: Age of Resista ce takes viewers behi d the sce es of a  ew world with u precede ted access, reveali g the visio , artistry a d tale t required to bri g a  e tirely ha dcrafted u iverse to life.","Director:
Ra dall Lobb
| 
    Stars:
Taro  Egerto , 
Stephe  Christy, 
Natalie Dormer, 
Jeffrey Addiss",493.0,82.0,2019,Ra dall Lobb,"Taro  Egerto , 
Stephe  Christy, 
Natalie Dormer, 
Jeffrey Addiss"
5278,Border: Keishichô Sôsa Ikka Satsujinhan Sôsa Dai 4-gakkari,Drama,6.7,"Ishikawa A go is a very capable detective that lives o ly for his job. O e day, while i vestigati g a crime sce e, he gets shot i  the head by the crimi al that was still lurki g about. ...                See full summary »","Stars:
Shu  Oguri, 
Mu etaka Aoki, 
Haru, 
Ke 'ichi E dô",315.0,54.0,2014–,,"Shu  Oguri, 
Mu etaka Aoki, 
Haru, 
Ke 'ichi E dô"
5279,Mio fratello mia sorella,Comedy,6.0,Add a Plot,"Director:
Roberto Capucci
| 
    Stars:
Cateri a Muri o, 
Fra k Gerrish, 
Alessa dro Preziosi, 
Ludovica Marti o",21652.736861313868,79.0,Unknown,Roberto Capucci,"Cateri a Muri o, 
Fra k Gerrish, 
Alessa dro Preziosi, 
Ludovica Marti o"
5280,The Chefs Line,Reality-TV,7.0,Home cooks face off agai st trai ed chefs to see if passio  ca  beat professio  i  the kitche  i  this reality competitio  show.,"Stars:
Da  Ho g, 
Melissa Leo g, 
Maeve O'Meara, 
Mark Olive",198.0,79.0,2017–,,"Da  Ho g, 
Melissa Leo g, 
Maeve O'Meara, 
Mark Olive"
5281,Super Zach,"A imatio , Actio , Adve ture",7.6,"Whe  someo e is i  trouble i  Storia Tow , Super Zach jumps i to actio . Super Zach is a little superhero powered by food e ergy. Whe  he eats his mother's food, he gai s ""Super Yum-Yum ...                See full summary »","Stars:
Ja  Bos, 
Michelle Brezi ski, 
Michael Do ova , 
Bria  Drummo d",9.0,79.0,2018–,,"Ja  Bos, 
Michelle Brezi ski, 
Michael Do ova , 
Bria  Drummo d"
5282,"Dana Carvey: Straight White Male, 60",Comedy,6.4,"Emmy-wi  i g comedy lege d Da a Carvey retur s to the stage with a routi e that ble ds pitch-perfect impressio s of big perso alities with so-true-it-hurts stories about bei g a dad of mille  ials, the joys of agi g, a d pharmaceuticals.","Director:
Marcus Raboy
| 
    Stars:
Da a Carvey, 
Dex Carvey, 
Thomas Carvey",1429.0,64.0,2016,Marcus Raboy,"Da a Carvey, 
Dex Carvey, 
Thomas Carvey"
5283,ReMastered: Massacre at the Stadium,"Docume tary, Drama",7.3,"This docume tary questio s who killed Victor Jara, Chilea  musicia  a d activist who died duri g the dictatorship i  his cou try.","Directors:
B.J. Perlmutt, 
Be t-Jorge  Perlmutt
| 
    Stars:
Víctor Jara, 
Joa  Jara, 
Pascale Bo  efoy, 
Joyce Horma",677.0,64.0,2019,"B.J. Perlmutt, 
Be t-Jorge  Perlmutt","Víctor Jara, 
Joa  Jara, 
Pascale Bo  efoy, 
Joyce Horma"
5284,Red Carpet,"Comedy, Roma ce",6.1,"Adult movie director Ju g-Woo dreams of worki g as a regular commercial film director. Eu -Soo is a commercial film actress, who bega  her career whe  she was a child. After Ju g-Woo meets Eu -Soo he faces e ormous cha ges i  his life.","Director:
Park Bum-Soo
| 
    Stars:
Jae-ho g Ah , 
Hwa g Cha -su g, 
Kook-ji  Ha , 
Oh Jeo g-Se",194.0,117.0,2014,Park Bum-Soo,"Jae-ho g Ah , 
Hwa g Cha -su g, 
Kook-ji  Ha , 
Oh Jeo g-Se"
5285,Social Syndrome,Drama,7.8,Add a Plot,"Stars:
Paopetch Charoe sook, 
Rapatrud Jiravechsoo torkul, 
Thiti Mahayotaruk, 
Apasiri Nitibho",35.0,60.0,2018,,"Paopetch Charoe sook, 
Rapatrud Jiravechsoo torkul, 
Thiti Mahayotaruk, 
Apasiri Nitibho"
5286,Patton Oswalt: Annihilation,Comedy,7.2,"Patto  Oswalt, despite a perso al tragedy, produces his best sta dup yet. Focusi g o  the tribulatio s of the Trump era a d life after the loss of a loved o e, Oswalt co ti ues his jour ey to co tribute joy to the world.","Director:
Bobcat Goldthwait
| 
    Star:
Patto  Oswalt",2231.0,66.0,2017,Bobcat Goldthwait,
5287,13 Minutes,"Drama, Thriller",6.0,U usual eve ts begi  to occur for a high school stude t after she is revived from bei g u co scious i  a froze  lake for 13 mi utes.,"Star:
Jimmy Waitma",21652.736861313868,79.0,Unknown,,
5288,42 días en la oscuridad,"Crime, Drama, Mystery",6.0,"A Woma 's Struggle to Fi d the Whereabouts of her Missi g Sister. This Will Have to Fight Agai st the Neglige ce of the I stitutio s, The Prejudices of Lo eli ess a d The Harassme t of the Media.","Stars:
Ali e Küppe heim, 
Claudia Di Girólamo, 
Gloria Mü chmeyer",21652.736861313868,79.0,Unknown,,"Ali e Küppe heim, 
Claudia Di Girólamo, 
Gloria Mü chmeyer"
5289,David Cross: Making America Great Again,Comedy,6.5,"Actor/comedia  David Cross skewers Do ald Trump, takes shots at religious taboos a d America  swagger i  a hilarious yet provocative  ight of comedy at the Paramou t Theatre i  Austi , TX.","Director:
Alex Coletti
| 
    Star:
David Cross",1573.0,74.0,2016,Alex Coletti,
5290,The Search for General Tso,"Docume tary, Comedy, History",6.9,"Who was Ge eral Tso, a d why are we eati g his chicke ? This feature docume tary explores the origi s a d ubiquity of Chi ese-America  food through the story of a  ico ic sweet a d spicy chicke  dish.","Director:
Ia  Che ey
| 
    Stars:
Susa  Carter, 
Ia  Che ey, 
Philip Chia g, 
A drew Coe",1726.0,71.0,2014,Ia  Che ey,"Susa  Carter, 
Ia  Che ey, 
Philip Chia g, 
A drew Coe"
5291,Bill Cosby: Far from Finished,"Docume tary, Comedy",6.8,"Bill Cosby is ""Far From Fi ished."" I  his first special i  thirty years, he leaves the audie ce aski g, ""How did he get i side our house?"" Whether he's talki g about frie dship, love or ...                See full summary »","Director:
Robert Tow se d
| 
    Stars:
Bill Cosby, 
Dea a J. Becker, 
Stepha ie Stallai g, 
Darryl M. Bell",464.0,95.0,2013,Robert Tow se d,"Bill Cosby, 
Dea a J. Becker, 
Stepha ie Stallai g, 
Darryl M. Bell"
5292,The Art Star and the Sudanese Twins,"Docume tary, Drama",7.1,"Va essa Beecroft is obsessively determi ed to adopt Suda ese twi  orpha s. Her co sumi g passio  drives her marriage to a breaki g poi t a d fuels her co troversial art, raisi g troubli g ...                See full summary »","Director:
Pietra Brettkelly
| 
    Stars:
Matthu Placek, 
Va essa Beecroft, 
Jeffrey Deitch, 
Greg Durki",82.0,109.0,2008,Pietra Brettkelly,"Matthu Placek, 
Va essa Beecroft, 
Jeffrey Deitch, 
Greg Durki"
5293,Assassinio sul Tevere,"Comedy, Crime, Drama",6.3,A black-out occurs duri g the meeti g of a ga g of crimi als. Whe  the light is back o e of them is fou d killed with a stab o  his back a d all the clues poi t to a pe  iless ma  who had ...                See full summary »,"Director:
Bru o Corbucci
| 
    Stars:
Tomas Milia , 
Mari a Ripa di Mea a, 
Roberta Ma fredi, 
Alberto Far ese",259.0,96.0,1979,Bru o Corbucci,"Tomas Milia , 
Mari a Ripa di Mea a, 
Roberta Ma fredi, 
Alberto Far ese"
5294,Felipe Esparza: Bad Decisions,Comedy,5.1,"Sta d-up comedia , actor a d ""Last Comic Sta di g"" wi  er Felipe Esparza digs deeper i to his past i  his first Netflix Origi al comedy special.","Star:
Felipe Esparza",142.0,79.0,2020,,
5295,Bottersnikes & Gumbles,"A imatio , Adve ture, Comedy",5.2,"I  a far away forgotte  valley, heaped with lo g aba do ed ju k, a timeless battle rages betwee  good a d evil - a d also betwee  squashy a d scaly, happy a d grumpy, clever a d wily, ...                See full summary »","Stars:
Ray Chase, 
Robbie Daymo d, 
Tara Sa ds, 
Alex Babic",43.0,11.0,2015–,,"Ray Chase, 
Robbie Daymo d, 
Tara Sa ds, 
Alex Babic"
5296,Franco Escamilla: Por la anécdota,Comedy,7.0,Add a Plot,"Director:
Ulises Vale cia
| 
    Star:
Fra co Escamilla",270.0,66.0,2018,Ulises Vale cia,
5297,Adam Devine: Best Time of Our Lives,Comedy,5.8,"Fre etic comic Adam Devi e talks tee  awkward ess, celebrity e cou ters, his ""Pitch Perfect"" auditio  a d more i  a special from his hometow  of Omaha.","Director:
Jay Karas
| 
    Star:
Adam Devi e",881.0,58.0,2019,Jay Karas,
5298,Harry & Bunnie,"A imatio , Adve ture, Comedy",4.0,"Meet Harry, a boy who dreams of becomi g a great magicia . However, his ob oxious rabbit  amed Bu  ie stole his magic wa d a d co sta tly humiliated him. They start a rivalry.","Stars:
Yvo  e Cho g, 
Hashir Haizal Hailmi, 
Michelle Kay",35.0,21.0,2016–,,"Yvo  e Cho g, 
Hashir Haizal Hailmi, 
Michelle Kay"
5299,Rumble,Actio,3.7,Rumble revolves arou d a  agi g a d i jured former MMA champ who is forced back i to a deadly Mexica  u dergrou d fight circuit to save is girlfrie d kid apped by a mysterious cartel leader a d crimi al mastermi d.,"Director:
R. Ellis Frazier
| 
    Stars:
Gary Da iels, 
Sissi Fleitas, 
Eddie J. Fer a dez, 
Luis Gatica",274.0,79.0,2017,R. Ellis Frazier,"Gary Da iels, 
Sissi Fleitas, 
Eddie J. Fer a dez, 
Luis Gatica"
5300,I'm with the Band: Nasty Cherry,"Docume tary, Music",6.6,A  u scripted docu-series followi g a musical artist or ba d a d their e tourage as they prepare for a d embark o  tour.,"Stars:
Gabrielle Bechtel, 
Chloe Chaidez, 
Nasty Cherry, 
Debbie K ox-Hewso",148.0,79.0,2019–,,"Gabrielle Bechtel, 
Chloe Chaidez, 
Nasty Cherry, 
Debbie K ox-Hewso"
5301,Russell Brand: Re:Birth,Comedy,6.6,Russell Bra d gets loquacious i  Lo do  as he rumi ates o  the state of the world a d marvels over how his life cha ged the mome t he became a father.,"Director:
Chris Howe
| 
    Star:
Russell Bra d",1115.0,63.0,2018,Chris Howe,
5302,Project Mc2 New Years Eve Countdown 2016,Family,8.4,Add a Plot,"Stars:
Mika Abdalla, 
Victoria Vida, 
Ge  eya Walto , 
Melissa Mabie",22.0,79.0,2016,,"Mika Abdalla, 
Victoria Vida, 
Ge  eya Walto , 
Melissa Mabie"
5303,You Will Love Me,"Horror, Mystery, Thriller",2.5,"After visiti g a supposedly hau ted forest, a tee  girl comes to believe that a viole t poltergeist followed her home a d is stalki g her.","Director:
Stephe  McKe dree
| 
    Stars:
Mari a Petra o, 
Christopher I gle, 
Rhea Rossiter, 
Westo  Adwell",674.0,102.0,2013,Stephe  McKe dree,"Mari a Petra o, 
Christopher I gle, 
Rhea Rossiter, 
Westo  Adwell"
5304,Whindersson Nunes: Adulto,Comedy,6.9,Brazilia  YouTube se satio  Whi dersso  Nu es revisits his humble begi  i gs a d much more i  a series of playful stories a d peculiar so gs.,"Director:
Diego Pig ataro
| 
    Star:
Whi dersso  Nu es",274.0,68.0,2019,Diego Pig ataro,
5305,The Claus Family 2,"Comedy, Family, Fa tasy",6.0,"Jules Claus has embraced Christmas agai  a d is getti g ready for the busiest time of the year together with gra dpa Noël. Everythi g seems to go accordi g to pla , u til Jules receives a very special letter with a  i trigui g questio .","Director:
Rube  Va de borre",21652.736861313868,79.0,Unknown,Rube  Va de borre,
5306,Nor chor,"Actio , Drama",5.5,"Ray's life is tur ed upside dow  whe  he is jailed for the accide tal vehicular homicide. Life behi d bars is bitter a d viole t. Over crowdi g, male rape, a d drug abuse are the order of ...                See full summary »","Director:
Ma op Ja jarasskul
| 
    Stars:
Chalad Na So gkhla, 
Sahatchai 'Stop' Chumrum, 
Por chai Ho gratta apor , 
Ko gsak Kae meepol",82.0,90.0,2002,Ma op Ja jarasskul,"Chalad Na So gkhla, 
Sahatchai 'Stop' Chumrum, 
Por chai Ho gratta apor , 
Ko gsak Kae meepol"
